484,484
56,57
204,198
528,550
57,46
555,559
586,584
586,587
46,41
510,512
500,505
494,490
490,482
150,147
147,141
141,134
134,139
139,132
132,133
133,130
130,128
128,124
124,113
113,108
108,99
99,104
104,97
97,94
94,92
92,88
88,85
85,78
78,77
70,56
512,520
520,519
519,534
534,526
526,532
532,528
442,428
428,439
439,436
436,433
433,434
434,443
443,440
440,425
425,444
180,187
187,185
185,194
194,204
444,441
441,455
455,456
456,466
466,467
467,473
473,476
476,497
497,488
488,515
515,529
444,437
437,420
420,422
422,412
412,414
414,404
404,406
406,401
401,397
397,408
408,399
399,402
402,405
400,407
407,398
398,392
392,394
274,285
285,280
280,309
309,286
286,270
270,257
257,273
85,84
84,83
83,79
79,80
71,76
76,63
63,66
66,62
47,45
394,417
417,413
413,416
416,424
424,421
421,445
528,543
543,540
540,546
546,551
551,555
197,208
529,552
552,560
560,575
575,583
583,590
602,603
603,604
604,610
617,619
619,621
621,623
623,625
625,627
627,628
290,288
316,294
294,275
121,127
117,112
112,114
103,102
102,105
105,129
259,242
164,156
156,152
152,146
146,145
145,135
135,137
137,118
529,548
548,554
554,553
553,573
573,576
576,582
582,589
589,591
598,600
600,601
555,556
556,562
562,569
569,571
571,568
568,572
572,581
581,579
579,586
56,54
36,31
31,29
29,23
23,22
22,18
204,211
211,216
216,232
232,239
239,235
262,292
550,533
533,544
544,557
557,563
563,570
570,574
574,567
567,578
578,585
585,592
596,599
599,597
608,615
550,538
538,549
549,558
558,561
561,564
464,474
474,483
450,465
477,481
481,487
487,491
491,508
508,502
502,511
511,517
517,522
522,539
539,541
426,429
492,503
527,530
227,226
255,244
296,281
198,202
202,205
205,188
188,189
189,186
186,175
198,178
178,193
193,177
177,169
169,166
45,52
52,51
51,49
49,48
48,59
59,61
61,58
58,65
65,68
68,64
64,67
67,74
45,39
39,33
15,12
12,13
13,10
10,8
8,7
15,14
14,11
11,9
9,6
6,5
5,4
2,1
57,50
50,40
40,35
35,26
26,24
24,21
46,55
55,44
111,110
110,98
217,195
195,173
173,158
158,151
151,142
101,100
82,75
75,69
69,43
43,53
53,38
38,37
34,30
30,28
28,27
27,25
25,20
129,122
122,131
131,123
123,140
140,126
126,144
144,136
93,89
89,91
389,388
388,387
387,386
386,382
382,377
377,379
445,446
446,452
452,459
459,470
470,479
479,480
480,496
496,493
493,516
516,525
545,547
547,566
577,580
580,588
445,438
423,419
419,427
611,613
613,616
616,620
620,622
622,624
624,626
626,630
630,629
629,636
601,609
609,607
634,635
635,637
639,640
640,641
641,642
642,643
118,116
116,115
628,631
631,633
165,162
162,155
77,72
72,70
80,73
73,71
590,593
593,602
610,614
614,617
114,109
109,103
240,237
118,120
120,111
142,107
107,101
129,106
438,432
432,423
607,612
612,618
628,632
632,634
637,638
638,639
512,507
507,500
159,157
157,153
155,149
149,150
468,458
197,184
184,180
321,317
524,535
243,255
100,95
95,90
509,498
498,494
163,159
161,165
365,359
359,353
127,119
119,117
430,450
429,451
451,462
537,523
252,265
170,181
181,197
241,256
306,318
454,460
460,464
499,501
501,510
453,447
242,221
221,196
196,171
171,164
18,17
17,15
597,605
605,608
244,258
258,272
91,86
86,81
374,370
370,365
208,218
218,241
138,125
125,121
201,190
190,183
172,199
317,305
305,306
213,179
484,471
471,468
405,410
410,400
465,472
472,477
165,167
167,170
385,380
380,374
148,143
143,138
237,233
233,223
489,495
495,499
462,469
469,478
478,485
485,492
503,514
514,524
482,475
475,463
318,332
268,298
298,319
275,299
299,321
54,42
42,36
292,264
264,252
90,87
87,82
415,396
396,385
179,174
174,163
411,430
266,250
250,240
463,457
457,448
409,435
435,454
384,403
403,426
448,418
418,393
206,182
182,172
344,335
308,327
327,336
319,301
301,274
62,60
60,47
235,251
251,262
272,291
291,303
303,293
293,267
267,278
278,296
4,3
3,2
394,395
395,389
525,531
531,545
106,96
96,93
484,486
486,489
447,431
431,415
518,513
513,506
338,328
328,308
310,287
287,268
269,290
265,283
283,314
256,284
284,315
219,209
209,200
199,214
214,234
234,260
210,176
176,168
324,313
315,326
591,595
595,598
592,594
594,596
535,536
536,527
183,191
191,192
21,19
19,16
37,32
32,34
566,565
565,577
601,606
606,611
353,347
347,338
336,322
322,310
530,542
542,537
314,289
289,266
348,354
354,362
292,307
307,320
229,222
222,213
228,212
212,210
332,337
337,342
246,228
355,363
277,249
249,231
231,224
224,206
341,323
323,302
505,504
504,509
308,282
282,259
223,225
225,219
226,238
238,243
153,154
154,161
248,236
236,217
192,207
207,215
302,271
271,254
254,245
245,229
342,345
345,344
363,367
367,373
335,333
333,331
260,276
276,297
350,358
313,295
295,279
393,381
381,375
366,360
360,356
343,329
329,311
357,351
351,341
325,340
340,350
288,304
304,316
168,160
160,148
458,449
449,442
523,521
521,518
217,230
230,247
468,461
461,453
273,263
263,248
215,220
220,227
383,391
391,409
200,203
203,201
383,390
390,411
320,334
334,346
247,253
253,269
362,368
368,372
372,376
376,383
373,378
378,384
331,330
330,324
326,339
339,348
279,261
261,246
346,352
352,355
375,371
371,366
356,349
349,343
311,300
300,277
369,361
361,357
297,312
312,325
358,364
364,369
