Row	loc_1	loc_2	loc_3	loc_4	loc_5	loc_6	loc_7	loc_8	loc_9	loc_10	loc_11	loc_12	loc_13	loc_14	loc_15	loc_16	loc_17	loc_18	loc_19	loc_20	loc_21	loc_22	loc_23	loc_24	loc_25	loc_26	loc_27	loc_28	loc_29	loc_30	loc_31	loc_32	loc_33	loc_34	loc_35	loc_36	loc_37	loc_38	loc_39	loc_40	loc_41	loc_42	loc_43	loc_52	loc_85	loc_86	loc_127	loc_128	loc_129	loc_130	loc_162	loc_163	loc_164	loc_165	loc_166	loc_170	loc_188	loc_190	loc_194	loc_220	loc_221	loc_246	loc_247	loc_248	loc_249	loc_250	loc_252	loc_253	loc_254
loc_85	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.27707214457679	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.61742698734966	1.20259589905704	1.58680223714487	1.58680223714487	1.5664576222989	0.409825470593449	1.58680223714487	1.58680223714487	1.58680223714487	1.58680223714487	1.58680223714487	0.525361286170001	1.58680223714487	0.525361286170001	1.58680223714487	0.584166630993724	0.584166630993724	1.27707214457679	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.886533451728015	0.886533451728015	1.20259589905704
loc_86	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.20259589905704	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.20259589905704	1.55104877993039	1.20259589905704	1.20259589905704	1.20259589905704	0.409825470593449	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.525361286170001	1.20259589905704	0.525361286170001	1.20259589905704	0.584166630993724	0.584166630993724	1.20259589905704	1.52614263841562	1.5035391499314	1.5035391499314	1.33182048001401	0.886533451728015	0.886533451728015	1.55001874045543
loc_127	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.27707214457679	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.58680223714487	1.20259589905704	1.63198433078159	1.59943804181985	1.5664576222989	0.409825470593449	1.59943804181985	1.59943804181985	1.59943804181985	1.59943804181985	1.59943804181985	0.525361286170001	1.59943804181985	0.525361286170001	1.59943804181985	0.584166630993724	0.584166630993724	1.27707214457679	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.886533451728015	0.886533451728015	1.20259589905704
loc_128	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.27707214457679	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.58680223714487	1.20259589905704	1.59943804181985	1.84943919242356	1.5664576222989	0.409825470593449	1.80186190675402	1.80186190675402	1.80186190675402	1.80186190675402	1.65057681713803	0.525361286170001	1.61734538128431	0.525361286170001	1.61734538128431	0.584166630993724	0.584166630993724	1.27707214457679	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.886533451728015	0.886533451728015	1.20259589905704
loc_129	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.27707214457679	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.5664576222989	1.20259589905704	1.5664576222989	1.5664576222989	1.75527579185264	0.409825470593449	1.5664576222989	1.5664576222989	1.5664576222989	1.5664576222989	1.5664576222989	0.525361286170001	1.5664576222989	0.525361286170001	1.5664576222989	0.584166630993724	0.584166630993724	1.27707214457679	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.886533451728015	0.886533451728015	1.20259589905704
loc_130	0.580310485950227	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.580310485950227	0.527562425451728	0.483958851858454	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.27113413715303	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.388302168742502	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.27113413715303	0.00166646154239466	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.607495917160416	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449	0.409825470593449
loc_162	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.27707214457679	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.58680223714487	1.20259589905704	1.59943804181985	1.80186190675402	1.5664576222989	0.409825470593449	2.19540051471971	2.19091568388	2.18134992586665	1.8305359672475	1.65057681713803	0.525361286170001	1.61734538128431	0.525361286170001	1.61734538128431	0.584166630993724	0.584166630993724	1.27707214457679	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.886533451728015	0.886533451728015	1.20259589905704
loc_163	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.27707214457679	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.58680223714487	1.20259589905704	1.59943804181985	1.80186190675402	1.5664576222989	0.409825470593449	2.19091568388	2.22592880329526	2.18134992586665	1.8305359672475	1.65057681713803	0.525361286170001	1.61734538128431	0.525361286170001	1.61734538128431	0.584166630993724	0.584166630993724	1.27707214457679	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.886533451728015	0.886533451728015	1.20259589905704
loc_164	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.27707214457679	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.58680223714487	1.20259589905704	1.59943804181985	1.80186190675402	1.5664576222989	0.409825470593449	2.18134992586665	2.18134992586665	2.18292358037634	1.8305359672475	1.65057681713803	0.525361286170001	1.61734538128431	0.525361286170001	1.61734538128431	0.584166630993724	0.584166630993724	1.27707214457679	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.886533451728015	0.886533451728015	1.20259589905704
loc_165	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.525361286170001	0.409825470593449	0.409825470593449	0.409825470593449	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.584166630993724	0.584166630993724	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.27113413715303	0.525361286170001	1.27707214457679	0.525361286170001	0.525361286170001	0.388302168742502	0.631172710791389	0.631172710791389	0.631172710791389	0.584166630993724	0.584166630993724	0.27113413715303	0.00166646154239466	0.525361286170001	0.525361286170001	0.525361286170001	0.525361286170001	0.440705002386017	0.961352494917278	1.58680223714487	1.20259589905704	1.59943804181985	1.80186190675402	1.5664576222989	0.409825470593449	1.8305359672475	1.8305359672475	1.8305359672475	1.84341996758888	1.65057681713803	0.525361286170001	1.61734538128431	0.525361286170001	1.61734538128431	0.584166630993724	0.584166630993724	1.27707214457679	1.20259589905704	1.20259589905704	1.20259589905704	1.20259589905704	0.886533451728015	0.886533451728015	1.20259589905704
