Row	loc_75	loc_76	loc_77	loc_78	loc_82	loc_83	loc_84	loc_87	loc_88	loc_89	loc_90	loc_91	loc_92	loc_93	loc_94	loc_95	loc_96	loc_97	loc_98	loc_99	loc_100	loc_101	loc_102	loc_103	loc_104	loc_105	loc_106	loc_107	loc_108	loc_109	loc_110	loc_111	loc_112	loc_113	loc_114	loc_115	loc_116	loc_117	loc_118	loc_119	loc_120	loc_122	loc_123	loc_124	loc_131	loc_132	loc_133	loc_134	loc_135	loc_136	loc_137	loc_138	loc_139	loc_140	loc_141	loc_142	loc_143	loc_225	loc_226	loc_227	loc_228	loc_234	loc_239	loc_240	loc_242	loc_243	loc_245	loc_251	loc_255	loc_256
loc_75	2.614804737	2.240483964	2.614804737	2.240483964	0.756605334	0.756605334	2.240483964	0.779842743	0.235053229	0.235053229	0.235053229	0.235053229	0.093549537	0.093549537	0.093549537	0.235053229	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	0.235053229	0.801082043	0.002261272	0.002261272	0.756605334	0.235053229	1.095611394	0.235053229	0.235053229	0.235053229	0.235053229	1.274929155	0.756605334	0.235053229	0.235053229	4.88E-12	0.756605334	2.423758356	0.756605334	0.756605334	0.756605334	2.437580625	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_76	2.240483964	2.666047785	2.240483964	2.351760172	0.756605334	0.756605334	2.46842597	0.779842743	0.235053229	0.235053229	0.235053229	0.235053229	0.093549537	0.093549537	0.093549537	0.235053229	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	0.235053229	0.801082043	0.002261272	0.002261272	0.756605334	0.235053229	1.095611394	0.235053229	0.235053229	0.235053229	0.235053229	1.274929155	0.756605334	0.235053229	0.235053229	4.88E-12	0.756605334	2.240483964	0.756605334	0.756605334	0.756605334	2.240483964	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_77	2.614804737	2.240483964	2.614804737	2.240483964	0.756605334	0.756605334	2.240483964	0.779842743	0.235053229	0.235053229	0.235053229	0.235053229	0.093549537	0.093549537	0.093549537	0.235053229	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	0.235053229	0.801082043	0.002261272	0.002261272	0.756605334	0.235053229	1.095611394	0.235053229	0.235053229	0.235053229	0.235053229	1.274929155	0.756605334	0.235053229	0.235053229	4.88E-12	0.756605334	2.423758356	0.756605334	0.756605334	0.756605334	2.437580625	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_78	2.240483964	2.351760172	2.240483964	2.677267296	0.756605334	0.756605334	2.351760172	0.779842743	0.235053229	0.235053229	0.235053229	0.235053229	0.093549537	0.093549537	0.093549537	0.235053229	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	0.235053229	0.801082043	0.002261272	0.002261272	0.756605334	0.235053229	1.095611394	0.235053229	0.235053229	0.235053229	0.235053229	1.274929155	0.756605334	0.235053229	0.235053229	4.88E-12	0.756605334	2.240483964	0.756605334	0.756605334	0.756605334	2.240483964	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_82	0.756605334	0.756605334	0.756605334	0.756605334	2.228880803	1.063515575	0.756605334	0.756605334	0.235053229	0.235053229	0.235053229	0.235053229	0.093549537	0.093549537	0.093549537	0.235053229	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	0.235053229	0.756605334	0.002261272	0.002261272	1.20700217	0.235053229	0.756605334	0.235053229	0.235053229	0.235053229	0.235053229	0.756605334	1.20700217	0.235053229	0.235053229	4.88E-12	1.063515575	0.756605334	2.16625436	1.063515575	2.16625436	0.756605334	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_83	0.756605334	0.756605334	0.756605334	0.756605334	1.063515575	2.084845461	0.756605334	0.756605334	0.235053229	0.235053229	0.235053229	0.235053229	0.093549537	0.093549537	0.093549537	0.235053229	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	0.235053229	0.756605334	0.002261272	0.002261272	1.063515575	0.235053229	0.756605334	0.235053229	0.235053229	0.235053229	0.235053229	0.756605334	1.063515575	0.235053229	0.235053229	4.88E-12	1.259443485	0.756605334	1.063515575	1.259443485	1.063515575	0.756605334	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_84	2.240483964	2.46842597	2.240483964	2.351760172	0.756605334	0.756605334	2.47304717	0.779842743	0.235053229	0.235053229	0.235053229	0.235053229	0.093549537	0.093549537	0.093549537	0.235053229	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	0.235053229	0.801082043	0.002261272	0.002261272	0.756605334	0.235053229	1.095611394	0.235053229	0.235053229	0.235053229	0.235053229	1.274929155	0.756605334	0.235053229	0.235053229	4.88E-12	0.756605334	2.240483964	0.756605334	0.756605334	0.756605334	2.240483964	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_87	0.779842743	0.779842743	0.779842743	0.779842743	0.756605334	0.756605334	0.779842743	0.812242989	0.235053229	0.235053229	0.235053229	0.235053229	0.093549537	0.093549537	0.093549537	0.235053229	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	0.235053229	0.779842743	0.002261272	0.002261272	0.756605334	0.235053229	0.779842743	0.235053229	0.235053229	0.235053229	0.235053229	0.779842743	0.756605334	0.235053229	0.235053229	4.88E-12	0.756605334	0.779842743	0.756605334	0.756605334	0.756605334	0.779842743	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_88	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	1.166473056	1.112893452	1.131185284	1.131185284	0.093549537	0.093549537	0.093549537	1.131185284	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	1.131185284	0.235053229	0.002261272	0.002261272	0.235053229	0.394581633	0.235053229	0.433797002	1.112893452	0.551442355	0.590657461	0.235053229	0.235053229	1.112893452	0.473012164	4.88E-12	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
loc_89	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	1.112893452	1.138200328	1.112893452	1.112893452	0.093549537	0.093549537	0.093549537	1.112893452	0.093549537	0.093549537	0.002261272	0.002261272	0.093549537	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.002261272	0.002261272	0.002261272	0.002261272	0.093549537	0.093549537	1.112893452	0.235053229	0.002261272	0.002261272	0.235053229	0.394581633	0.235053229	0.433797002	1.135709714	0.551442355	0.590657461	0.235053229	0.235053229	1.135709714	0.473012164	4.88E-12	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.235053229	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	0.002261272	4.88E-12	4.88E-12
