Row	loc_79	loc_121	loc_126	loc_197	loc_224	loc_229	loc_230	loc_231	loc_232	loc_233	loc_235	loc_236	loc_237	loc_238	loc_241	loc_244
loc_79	0.251363996589001	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.132918385373449	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.132918385373449	0.132918385373449	0.0480260751936371	0.0480260751936371
loc_121	0.0480260751936371	2.24813843975976	1.1566391957099	1.7200350388663	0.0480260751936371	1.10928500674309	0.646238574967724	0.646238574967724	0.871307223140998	1.10928500674309	1.1566391957099	1.1566391957099	0.0480260751936371	0.0480260751936371	1.10928500674309	1.10928500674309
loc_126	0.0480260751936371	1.1566391957099	1.53853631502742	1.1566391957099	0.0480260751936371	1.10928500674309	0.646238574967724	0.646238574967724	0.871307223140998	1.10928500674309	1.36589132768892	1.50996212494805	0.0480260751936371	0.0480260751936371	1.10928500674309	1.10928500674309
loc_197	0.0480260751936371	1.7200350388663	1.1566391957099	4.50844552711375	0.0480260751936371	1.10928500674309	0.646238574967724	0.646238574967724	0.871307223140998	1.10928500674309	1.1566391957099	1.1566391957099	0.0480260751936371	0.0480260751936371	1.10928500674309	1.10928500674309
loc_224	0.132918385373449	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.81787991240709	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.603172581517093	0.603172581517093	0.0480260751936371	0.0480260751936371
loc_229	0.0480260751936371	1.10928500674309	1.10928500674309	1.10928500674309	0.0480260751936371	1.87417086766441	0.646238574967724	0.646238574967724	0.871307223140998	1.61343732853958	1.10928500674309	1.10928500674309	0.0480260751936371	0.0480260751936371	1.78021008516852	1.61343732853958
loc_230	0.0480260751936371	0.646238574967724	0.646238574967724	0.646238574967724	0.0480260751936371	0.646238574967724	0.866755425287728	0.74209417819094	0.646238574967724	0.646238574967724	0.646238574967724	0.646238574967724	0.0480260751936371	0.0480260751936371	0.646238574967724	0.646238574967724
loc_231	0.0480260751936371	0.646238574967724	0.646238574967724	0.646238574967724	0.0480260751936371	0.646238574967724	0.74209417819094	1.02602614944353	0.646238574967724	0.646238574967724	0.646238574967724	0.646238574967724	0.0480260751936371	0.0480260751936371	0.646238574967724	0.646238574967724
loc_232	0.0480260751936371	0.871307223140998	0.871307223140998	0.871307223140998	0.0480260751936371	0.871307223140998	0.646238574967724	0.646238574967724	1.13327886781144	0.871307223140998	0.871307223140998	0.871307223140998	0.0480260751936371	0.0480260751936371	0.871307223140998	0.871307223140998
loc_233	0.0480260751936371	1.10928500674309	1.10928500674309	1.10928500674309	0.0480260751936371	1.61343732853958	0.646238574967724	0.646238574967724	0.871307223140998	1.9047555719472	1.10928500674309	1.10928500674309	0.0480260751936371	0.0480260751936371	1.61343732853958	1.72807385284283
loc_235	0.0480260751936371	1.1566391957099	1.36589132768892	1.1566391957099	0.0480260751936371	1.10928500674309	0.646238574967724	0.646238574967724	0.871307223140998	1.10928500674309	1.43170075235109	1.36589132768892	0.0480260751936371	0.0480260751936371	1.10928500674309	1.10928500674309
loc_236	0.0480260751936371	1.1566391957099	1.50996212494805	1.1566391957099	0.0480260751936371	1.10928500674309	0.646238574967724	0.646238574967724	0.871307223140998	1.10928500674309	1.36589132768892	1.65174643810469	0.0480260751936371	0.0480260751936371	1.10928500674309	1.10928500674309
loc_237	0.132918385373449	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.603172581517093	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	1.16483504521587	0.972709021108968	0.0480260751936371	0.0480260751936371
loc_238	0.132918385373449	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.603172581517093	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.0480260751936371	0.972709021108968	1.44463822062847	0.0480260751936371	0.0480260751936371
loc_241	0.0480260751936371	1.10928500674309	1.10928500674309	1.10928500674309	0.0480260751936371	1.78021008516852	0.646238574967724	0.646238574967724	0.871307223140998	1.61343732853958	1.10928500674309	1.10928500674309	0.0480260751936371	0.0480260751936371	2.49190573557498	1.61343732853958
loc_244	0.0480260751936371	1.10928500674309	1.10928500674309	1.10928500674309	0.0480260751936371	1.61343732853958	0.646238574967724	0.646238574967724	0.871307223140998	1.72807385284283	1.10928500674309	1.10928500674309	0.0480260751936371	0.0480260751936371	1.61343732853958	3.60774524163917
