Row	loc_80	loc_125	loc_144	loc_145	loc_146	loc_147	loc_148	loc_149	loc_150	loc_151	loc_152	loc_153	loc_154	loc_155	loc_156	loc_157	loc_193	loc_196	loc_198	loc_199	loc_200	loc_201	loc_202	loc_203	loc_204	loc_205	loc_206	loc_207	loc_208	loc_209	loc_215	loc_216	loc_217	loc_218	loc_219
loc_150	0	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0575914934618345	0	0	0	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0	0.0428135583733443	0	0.0428135583733443	0.0428135583733443	0	0	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0.0428135583733443	0	0	0	0	0
loc_151	0.00277663160179417	0	0	0	0	0	0	0	0	0.045139888541655	0.0168796387417475	0.045139888541655	0	0	0	0	0.00277663160179417	0	0.00277663160179417	0	0	0.00277663160179417	0.00277663160179417	0	0	0	0	0	0	0	0.00277663160179417	0.00277663160179417	0.00277663160179417	0.00277663160179417	0.00277663160179417
loc_152	0.00277663160179417	0	0	0	0	0	0	0	0	0.0168796387417475	0.189300131583914	0.0168796387417475	0	0	0	0	0.00277663160179417	0	0.00277663160179417	0	0	0.00277663160179417	0.00277663160179417	0	0	0	0	0	0	0	0.00277663160179417	0.00277663160179417	0.00277663160179417	0.00277663160179417	0.00277663160179417
loc_153	0.00277663160179417	0	0	0	0	0	0	0	0	0.045139888541655	0.0168796387417475	0.205172074730029	0	0	0	0	0.00277663160179417	0	0.00277663160179417	0	0	0.00277663160179417	0.00277663160179417	0	0	0	0	0	0	0	0.00277663160179417	0.00277663160179417	0.00277663160179417	0.00277663160179417	0.00277663160179417
loc_154	0	0.90369808649509	0.292952944193397	0.626181681851581	0.651158311143437	0.651158311143437	0.209593384742832	0.209593384742832	0.0428135583733443	0	0	0	1.1146834072738	1.04639602987176	0.90369808649509	0.90369808649509	0	0.90369808649509	0	0.90369808649509	0.90369808649509	0	0	0.90369808649509	0.90369808649509	0.90369808649509	0.90369808649509	0.90369808649509	0.90369808649509	0.90369808649509	0	0	0	0	0
loc_155	0	0.90369808649509	0.292952944193397	0.626181681851581	0.651158311143437	0.651158311143437	0.209593384742832	0.209593384742832	0.0428135583733443	0	0	0	1.04639602987176	1.09109775061207	0.90369808649509	0.90369808649509	0	0.90369808649509	0	0.90369808649509	0.90369808649509	0	0	0.90369808649509	0.90369808649509	0.90369808649509	0.90369808649509	0.90369808649509	0.90369808649509	0.90369808649509	0	0	0	0	0
loc_156	0	1.43848449252457	0.292952944193397	0.626181681851581	0.651158311143437	0.651158311143437	0.209593384742832	0.209593384742832	0.0428135583733443	0	0	0	0.90369808649509	0.90369808649509	1.52297069245029	1.26665767410639	0	1.26665767410639	0	1.26665767410639	1.26665767410639	0	0	1.26665767410639	1.26665767410639	1.26665767410639	1.26665767410639	1.26665767410639	1.26665767410639	1.26665767410639	0	0	0	0	0
loc_157	0	1.26665767410639	0.292952944193397	0.626181681851581	0.651158311143437	0.651158311143437	0.209593384742832	0.209593384742832	0.0428135583733443	0	0	0	0.90369808649509	0.90369808649509	1.26665767410639	1.56475912798362	0	1.49164499002035	0	1.49164499002035	1.49164499002035	0	0	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	0	0	0	0	0
loc_193	0.671029367441577	0	0	0	0	0	0	0	0	0.00277663160179417	0.00277663160179417	0.00277663160179417	0	0	0	0	2.63177361172388	0	2.14929659187967	0	0	0.318022624028447	2.14929659187967	0	0	0	0	0	0	0	0.238366114955972	0.318022624028447	0.671029367441577	0.318022624028447	1.93952708840247
loc_196	0	1.26665767410639	0.292952944193397	0.626181681851581	0.651158311143437	0.651158311143437	0.209593384742832	0.209593384742832	0.0428135583733443	0	0	0	0.90369808649509	0.90369808649509	1.26665767410639	1.49164499002035	0	2.22766747420898	0	1.81857662228401	1.86544973754975	0	0	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	0	0	0	0	0
loc_198	0.671029367441577	0	0	0	0	0	0	0	0	0.00277663160179417	0.00277663160179417	0.00277663160179417	0	0	0	0	2.14929659187967	0	2.63519324710662	0	0	0.318022624028447	2.54289794265328	0	0	0	0	0	0	0	0.238366114955972	0.318022624028447	0.671029367441577	0.318022624028447	1.93952708840247
loc_199	0	1.26665767410639	0.292952944193397	0.626181681851581	0.651158311143437	0.651158311143437	0.209593384742832	0.209593384742832	0.0428135583733443	0	0	0	0.90369808649509	0.90369808649509	1.26665767410639	1.49164499002035	0	1.81857662228401	0	2.05375689861103	1.81857662228401	0	0	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	0	0	0	0	0
loc_200	0	1.26665767410639	0.292952944193397	0.626181681851581	0.651158311143437	0.651158311143437	0.209593384742832	0.209593384742832	0.0428135583733443	0	0	0	0.90369808649509	0.90369808649509	1.26665767410639	1.49164499002035	0	1.86544973754975	0	1.81857662228401	1.90496115640097	0	0	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	1.35661533181989	0	0	0	0	0
loc_201	0.318022624028447	0	0	0	0	0	0	0	0	0.00277663160179417	0.00277663160179417	0.00277663160179417	0	0	0	0	0.318022624028447	0	0.318022624028447	0	0	1.00019146742052	0.318022624028447	0	0	0	0	0	0	0	0.238366114955972	0.35307584058293	0.318022624028447	0.412570314635587	0.318022624028447
loc_202	0.671029367441577	0	0	0	0	0	0	0	0	0.00277663160179417	0.00277663160179417	0.00277663160179417	0	0	0	0	2.14929659187967	0	2.54289794265328	0	0	0.318022624028447	2.86954301744999	0	0	0	0	0	0	0	0.238366114955972	0.318022624028447	0.671029367441577	0.318022624028447	1.93952708840247
loc_203	0	1.26665767410639	0.292952944193397	0.626181681851581	0.651158311143437	0.651158311143437	0.209593384742832	0.209593384742832	0.0428135583733443	0	0	0	0.90369808649509	0.90369808649509	1.26665767410639	1.35661533181989	0	1.35661533181989	0	1.35661533181989	1.35661533181989	0	0	1.90953210822422	1.82655960045957	1.82655960045957	1.82655960045957	1.78549875279929	1.88617365340716	1.82870267507904	0	0	0	0	0
